番号,単語,発音記号,品詞,意味,補足,例文,例文訳
294,generation,/ˌdʒenəˈreɪʃn/,名詞,世代、一世代、発生、生み出すこと,おおよそ30年程度の「世代」のほか、電気や熱などを「発生させること（例：power generation）」の意味もあります。,"My generation invented the group chat, and we have used it primarily to leave each other on read for days.",俺の世代はグループチャットを発明し、そして主に、互いを何日も既読無視するために使ってきた。
295,anniversary,/ˌænɪˈvɜːrsəri/,名詞、形容詞,【名】記念日、創立記念日<br>【形】記念日の,年に1回めぐってくる特別な記念日（例：wedding anniversary：結婚記念日）。,"【名】We celebrated our anniversary by arguing about where to eat, then eating at the same place we always do.<br>【形】He gave her a heartfelt anniversary card, one year late, and bravely insisted the delay added to its charm.",【名】我々は記念日を、どこで食べるか言い争い、そして結局いつもの同じ店で食べることで祝った。<br>【形】彼は心のこもった記念日のカードを一年遅れで渡し、その遅れが趣を増したと勇敢に言い張った。
296,recently,/ˈriːsntli/,副詞,最近、近頃,過去の特定の時点や「少し前」を指すため、原則として過去形または現在完了形と共に用いられます。,"I have recently discovered that ""I'll do it later"" is, at its core, a beautiful and elaborate form of lying.",俺は最近、「後でやる」は本質的に、美しく手の込んだ嘘の一形態だと発見した。
297,used,/juːst/ (助動詞的)<br>/juːzd/ (形「中古の」),助動詞、形容詞,【助】（used toで）かつて〜した<br>【形】中古の、慣れている,used to do（以前はよく〜したものだ）、be used to doing（〜に慣れている）の使い分けに注意。,"【助】I used to wake up early and full of ambition, but those days now feel like someone else's biography entirely.<br>【形】He handed me a used tissue as if it were a precious gift, and I accepted it out of sheer stunned politeness.",【助】俺はかつて早起きして野心に満ちていたが、あの日々は今や完全に他人の伝記のように感じる。<br>【形】彼は使用済みのティッシュを貴重な贈り物のように渡し、俺は呆然とした礼儀からそれを受け取った。
298,early,/ˈɜːrli/,形容詞、副詞,【形】早い、初期の、早朝の<br>【副】早く、早めに,時間や時期が基準よりも「早い、初期の」を意味します（速度が速いのは fast や quick）。,"【形】I caught an early train to beat the crowd, only to discover the entire city had the exact same idea.<br>【副】I woke up early on my day off out of habit, then lay in bed furious at my own reliable internal clock.",【形】人混みを避けようと早い電車に乗ったが、街全体がまったく同じことを考えていたと知っただけだった。<br>【副】休日に習慣で早く目が覚め、俺は自分の律儀な体内時計に激怒しながらベッドに横たわった。
299,first,/fɜːrst/,形容詞、副詞、名詞,【形】最初の、第一の<br>【副】最初に、まず第一に<br>【名】最初の人・物,at first（最初は、当初は）と firstly（第一に、まず）などの表現があります。,"【形】My first attempt at baking produced something that legally could not be described using the word ""cake.""<br>【副】I finished the marathon first, which is easy to say when you simply do not mention there were only two runners.<br>【名】She was the first in her family to graduate, and she reminds everyone of it at every single holiday dinner.",【形】俺の初めてのお菓子作りは、法的に「ケーキ」という語では表現できない何かを生み出した。<br>【副】俺はマラソンを一位で完走した。走者が二人しかいなかったと言わなければ、簡単に言えることだ。<br>【名】彼女は家族で最初に卒業した者で、そのことを祝日の夕食のたびに全員に念押しする。
300,latest,/ˈleɪtɪst/,形容詞、名詞,【形】最新の、最後の<br>【名】最新ニュース,late の最上級。時間的に一番遅くに出てきたもの＝「最新の（例：the latest fashion）」となります。,"【形】I bought the latest phone, which becomes gloriously obsolete roughly four minutes after I unbox it.<br>【名】Have you heard the latest? Apparently the office coffee machine has filed for early retirement again.",【形】俺は最新のスマホを買ったが、それは箱を開けてからおよそ四分後に華々しく時代遅れになる。<br>【名】最新情報聞いた？ どうやらオフィスのコーヒーマシンがまた早期退職を申請したらしい。
301,modern,/ˈmɑːdərn/,形容詞,現代の、近世の、最新の,伝統的なものや古代（ancient）に対する「現代の、近代的な」状態を指します。,My idea of a modern kitchen is a machine that makes coffee while I heroically continue to sleep.,俺にとって現代的な台所とは、俺が英雄的に眠り続ける間にコーヒーを淹れてくれる機械のことだ。
302,ancient,/ˈeɪnʃənt/,形容詞、名詞,【形】古代の、大昔の<br>【名】古代人,はるか昔の歴史的な時代、または極めて古いものを指します。,"【形】He gave me directions using an ancient landmark that had been demolished long before I was even born.<br>【名】The museum guide called the vase an ancient, and my clumsy elbow nearly turned it into an ancient tragedy.",【形】彼は、俺が生まれるずっと前に取り壊された古代の目印を使って道案内をした。<br>【名】館長はその壺を古代の遺物と呼び、俺の不器用な肘はそれを危うく古代の悲劇に変えかけた。
303,spend,/spend/,動詞,（お金・時間を）費やす、過ごす,spend 時間/お金 (in) doing または spend 時間/お金 on 名詞 の形が極めて重要です。過去・過去分詞形は spent。,"I promised to spend less this month, then spent an entire afternoon buying things to help me save money.",今月は出費を抑えると誓ったのに、俺は節約を助ける品々を買うのに午後まるまる費やした。
304,delay,/dɪˈleɪ/,動詞、名詞,【動】遅らせる、延期する、遅れる<br>【名】遅延、延期,予定されていた時刻より遅らせる他動詞、または自ら遅れる自動詞として使われます。,"【動】The airline delayed my flight so many times that I started to consider the airport my legal residence.<br>【名】The only thing longer than the delay was the announcer's cheerful apology, repeated every fifteen minutes.",【動】航空会社が便を何度も遅延させたので、俺は空港を法的な住所と考え始めた。<br>【名】遅延より長かったのは、十五分ごとに繰り返されるアナウンスの陽気な謝罪だけだった。
305,borrow,/ˈbɑːroʊ/,動詞,借りる,移動可能なものを一時的に「無料で借りる」ことを指します（持ち運べない不動産や、有料で借りる場合は rent を使用）。,"I let my friend borrow my favorite pen three years ago, and I still quietly mourn its loss to this day.",三年前に友人にお気に入りのペンを貸したが、俺は今なお静かにその喪失を悼んでいる。
306,lend,/lend/,動詞,貸す、貸し出す,無料で一時的に「貸す」ことを表します（有料の貸し出しは rent や lease など）。過去・過去分詞形は lent。,"I would happily lend you money, but my wallet and I have a strict policy against making optimistic promises.",喜んで金を貸したいところだが、俺の財布と俺は、楽観的な約束をしない厳格な方針を掲げている。
307,rent,/rent/,動詞、名詞,【動】賃借りする、有料で借りる・貸す<br>【名】家賃、賃貸料,アパート、部屋、レンタカーなど、お金を払って物を貸し借りする際に広く使われます。,"【動】We rent a tiny apartment so expensive that the closet politely charges us extra just to store our regrets.<br>【名】The monthly rent goes up every year, unlike my salary, which prefers a peaceful and motionless existence.",【動】我々はあまりに高い狭いアパートを借りていて、押し入れは後悔を仕舞うだけで丁重に追加料金を取る。<br>【名】家賃は毎年上がる。平穏で微動だにしない生活を好む俺の給料とは違って。
308,provide,/prəˈvaɪd/,動詞,提供する、供給する、備える,provide A with B（AにBを提供する）や provide B for A の形で非常によく使われます。,"The hotel promised to provide everything, then provided a single towel and the phone number of a distant help desk.",ホテルは何もかも提供すると約束し、それからタオル一枚と、遠く離れたヘルプデスクの電話番号を提供した。
309,board,/bɔːrd/,名詞、動詞,【名】板、会議、役員会、搭乗<br>【動】搭乗する,on board で「（船や飛行機に）搭乗して」。名詞の board of directors で「取締役会」を意味します。,"【名】He pinned his brilliant plan to the board, and the board immediately became the smartest object in the room.<br>【動】We board the plane last, get the worst seats, and then act genuinely surprised, as if this were somehow new.",【名】彼は名案を掲示板に貼り、掲示板は即座に部屋で一番賢い物体になった。<br>【動】我々は最後に搭乗し、最悪の席に座り、そしてまるで初めてのように、心底驚いたふりをする。
310,garbage,/ˈɡɑːrbɪdʒ/,名詞,（主に生ゴミなどの）ゴミ、廃棄物,不可算名詞です。主に台所から出る生ゴミなどを指します（紙ゴミなどの乾いたゴミは trash や rubbish）。,"I told myself I would clean out the garbage this weekend, a beautiful promise I make roughly every single weekend.",今週末こそゴミを片づけると自分に言い聞かせた。おおよそ毎週末する、美しい約束だ。
311,item,/ˈaɪtəm/,名詞,項目、品目、品物,リストに記載された1項目や、店で売られている具体的な商品「1点・1品」などを指します。,"The most expensive item on the menu was the tap water, priced as though it had been personally blessed by a saint.",メニューで一番高い品は水道水で、まるで聖人が個人的に祝福したかのような値段がついていた。
312,wheel,/wiːl/,名詞、動詞,【名】車輪、ハンドル<br>【動】回転する、車輪付きの車で運ぶ,behind the wheel で「運転して（ハンドルの後ろに座って）」という意味になります。,"【名】The shopping cart had one broken wheel that insisted, with great passion, on steering us toward the wine aisle.<br>【動】He wheeled the enormous suitcase through the airport as if it contained the last hopes of an entire nation.",【名】ショッピングカートには壊れた車輪が一つあり、大いなる情熱をもって我々をワイン売り場へ導こうとした。<br>【動】彼は巨大なスーツケースを、まるで一国の最後の希望が入っているかのように空港で押していった。
313,note,/noʊt/,名詞、動詞,【名】メモ、注釈、紙幣、音符<br>【動】注意する、書き留める,イギリス英語では「紙幣（例：banknote）」を意味します。動詞としては note that ... で「〜に注意する、言及する」。,【名】She left me a sweet note on the fridge that turned out to be a detailed list of chores I owed her.<br>【動】Please note that I did read your long message; I simply chose emotional survival over an immediate reply.,【名】彼女は冷蔵庫に優しいメモを残してくれたが、それは俺が負っている家事の詳細な一覧だった。<br>【動】あなたの長文は確かに読んだと留意してほしい。俺はただ即答より心の生存を選んだだけだ。
314,present,/ˈpreznt/ (名・形)<br>/prɪˈzent/ (動),名詞、形容詞、動詞,【名】贈り物、現在<br>【形】出席している、現在の<br>【動】提示する、贈る,形容詞として名詞の後ろに置かれると「出席している（people present）」、名詞の前に置かれると「現在の（present situation）」になります。,"【名】He gave me a birthday present so useless that even the wrapping paper looked mildly embarrassed about it.<br>【形】All members were present at the meeting, except for the one person whose ideas we actually needed.<br>【動】She presented her excuse with such confidence that we nearly gave her an award instead of a warning.",【名】彼は俺の誕生日に、包装紙すら少し気まずそうに見えるほど役に立たないプレゼントをくれた。<br>【形】会議には全員が出席していた。我々が本当に必要としたアイデアを持つ唯一の人物を除いて。<br>【動】彼女があまりに自信たっぷりに言い訳を提示したので、我々は警告の代わりに賞を与えかけた。
315,bargain,/ˈbɑːrɡən/,名詞、動詞,【名】お買い得品、契約、取引<br>【動】交渉する、値切る,安くて価値がある「お買い得品」のほか、取引の条件を「交渉する、値切る」という動詞の意味もあります。,"【名】I found a real bargain on shoes, saving twenty dollars while somehow spending two hundred on things I didn't need.<br>【動】He tried to bargain with the vending machine, which responded with the cold indifference of true authority.",【名】靴で本物のお買い得品を見つけ、二十ドル節約しながら、なぜか要らない物に二百ドル使った。<br>【動】彼は自販機と値切り交渉を試みたが、自販機は真の権威者らしい冷たい無関心で応じた。
316,stuff,/stʌf/,名詞、動詞,【名】（漠然とした）もの、材料、こと<br>【動】詰め込む,不可算名詞で、持ち物や話題を指して「あれこれ、物、こと」と日常的に非常によく使われます。,【名】My closet is full of stuff I am absolutely certain I will need on some vague and glorious future occasion.<br>【動】He stuffed his suitcase so full that closing it became a two-person job and a genuine test of friendship.,【名】俺のクローゼットは、いつか漠然と輝かしい未来の機会に必ず必要になると確信している物で満杯だ。<br>【動】彼はスーツケースをあまりに詰め込んだので、閉めるのは二人がかりの仕事、真の友情の試練となった。
317,string,/strɪŋ/,名詞、動詞,【名】ひも、糸、弦、一連の<br>【動】ひもで縛る,楽器の「弦」や、一連の出来事を指す「一連の、ひと続き（例：a string of successes：一連の成功）」という意味もあります。,"【名】He tied the gift with a single string, presenting it as if fine craftsmanship were entirely beneath him.<br>【動】She strung together three unrelated excuses so smoothly that even I started to believe she had been abducted.",【名】彼は贈り物を紐一本で縛り、まるで丁寧な仕事など自分には無用とばかりに差し出した。<br>【動】彼女は無関係な言い訳三つをあまりに滑らかに繋いだので、俺すら彼女が誘拐されたと信じかけた。
318,leisure,/ˈleʒər/,名詞、形容詞,【名】余暇、レジャー<br>【形】余暇の,仕事や義務、勉強から解放された自由な時間を指します。,"【名】I planned to use my leisure to learn a language, and instead I mastered the art of lying very still on the sofa.<br>【形】He wore leisure clothes to the formal dinner and insisted, with a straight face, that comfort is the true elegance.",【名】余暇を語学の勉強に使う予定だったが、代わりに俺はソファでじっと横たわる技を極めた。<br>【形】彼は正式な晩餐に普段着を着てきて、真顔で、快適さこそ真の優雅さだと言い張った。
319,diet,/ˈdiet/,名詞、動詞,【名】日常の食事、規定食、国会<br>【動】食事制限をする,単に痩せるためのダイエットだけでなく、「日常の食事・食習慣」そのものを表します。また、固有名詞の the Diet は日本の「国会」を指します。,"【名】I started a strict diet on Monday, and by lunchtime the diet had already quietly submitted its resignation.<br>【動】He decided to diet before the holidays, an ambition that lasted precisely until the first plate of cookies.",【名】月曜に厳しいダイエットを始めたが、昼までにそのダイエットはすでに静かに辞表を提出していた。<br>【動】彼は休暇前に減量すると決めたが、その志は最初のクッキーの皿までしか正確にはもたなかった。
320,furniture,/ˈfɜːrnɪtʃər/,名詞,家具,代表的な不可算名詞（数えられない名詞）です。家具を1点、2点と数える場合は a piece of furniture とします。,"We bought the furniture that required assembly, and now the living room contains a chair and a permanent grudge.",我々は組み立て式の家具を買い、今やリビングには椅子一脚と、永遠の恨みが置かれている。
321,refrigerator,/rɪˈfrɪdʒəreɪtər/,名詞,冷蔵庫,会話など日常の場面では、より短く fridge /frɪdʒ/ と呼ばれることが多いです。,My refrigerator is where good vegetables go to slowly transform into a science experiment I never agreed to fund.,うちの冷蔵庫は、良い野菜が、俺が出資に同意した覚えのない科学実験へとゆっくり変わっていく場所だ。
322,traffic,/ˈtræfɪk/,名詞,交通、交通量、往来,乗り物や歩行者の「交通（量）」を指す不可算名詞。道路が混んでいる状態は heavy traffic と表現します。,The traffic was so bad that I finished an entire audiobook and still had not reached the end of my own street.,渋滞があまりにひどく、俺はオーディオブックを一冊まるまる聴き終えても、まだ自分の通りの端にすら着いていなかった。
323,sell,/sel/,動詞,売る、売れる,過去形・過去分詞形は sold。自動詞として「（本などが）〜のように売れる（例：sell well：よく売れる）」という意味でも使われます。,"They say you should never sell yourself short, so I confidently sold myself at a very generous imaginary price.",自分を安売りするなと言うので、俺は自信満々に、非常に気前のいい架空の値段で自分を売り込んだ。
324,pay,/peɪ/,動詞、名詞,【動】支払う、割に合う、報いる<br>【名】給料、手当,pay attention to ...（〜に注意を払う）などの塾語も頻出します。過去形・過去分詞形は paid。,"【動】I offered to pay for dinner, secretly praying my friend would insist, which he did not, with terrifying speed.<br>【名】The pay was modest, but the free snacks in the break room did their best to compensate for my crushed dreams.",【動】俺は夕食を奢ると申し出て、友人が固辞するよう密かに祈ったが、彼は恐ろしい速さでそうしなかった。<br>【名】給料は控えめだったが、休憩室の無料の菓子が、砕けた俺の夢を埋め合わせようと最善を尽くした。
325,wear,/wer/,動詞、名詞,【動】身につけている、すり減らす<br>【名】衣類、すり減り,衣服、靴、帽子、眼鏡などを「身につけている（状態）」を意味します（着る動作は put on）。過去形 wore、過去分詞 worn。,【動】I wear the same three outfits and rotate them with the quiet confidence of a man with far bigger problems.<br>【名】This old sweater is not fashion; it is simply comfortable wear that I refuse to surrender to the passage of time.,【動】俺は同じ三着を着回し、もっと大きな問題を抱えた男の静かな自信をもってローテーションしている。<br>【名】この古いセーターはファッションではなく、時の流れに明け渡すのを拒む、ただ快適な衣服だ。
326,clothes,/kloʊðz/,名詞,衣服、服,常に複数形で扱われる名詞です。単数形で「服の布地・雑巾」を指す cloth とは区別されます。,"I own many clothes, yet I still stand before the closet every morning declaring, with deep conviction, that I have nothing.",服はたくさん持っているのに、俺は毎朝クローゼットの前に立ち、深い確信を込めて、着る物がないと宣言する。
327,marry,/ˈmæri/,動詞,〜と結婚する,他動詞であるため、marry with ... とはせず、marry her のように直接目的語を取ります（または get married to ...）。,"He promised to marry his job, and honestly the job responds to his messages far faster than any human ever has.",彼は自分の仕事と結婚すると誓ったが、正直、仕事は人間の誰よりずっと早く彼のメッセージに返信する。
328,greet,/ɡriːt/,動詞,挨拶する、迎える,人を言葉やジェスチャーで出迎えて「挨拶を交わす」ことを意味します。,"My cat greets me at the door every evening, though I strongly suspect it is greeting the food, not me personally.",うちの猫は毎晩玄関で俺を出迎えるが、俺自身ではなく餌を出迎えているのだと強く疑っている。
329,order,/ˈorder/,名詞、動詞,【名】注文、順序、秩序、命令<br>【動】注文する、命じる,in order to do で「〜するために」という代表的な目的表現になります。,"【名】The waiter brought the wrong order, and it was, humiliatingly, far better than the thing I had actually chosen.<br>【動】I ordered a small coffee, and the barista returned with a cup so large it required both hands and a strategy.",【名】ウェイターが違う注文を持ってきたが、それは屈辱的なことに、俺が実際に選んだものよりずっと美味かった。<br>【動】小さいコーヒーを注文したのに、バリスタは両手と戦略を要するほど巨大なカップを持って戻ってきた。
330,room,/ruːm/,名詞、動詞,【名】部屋、余地、空間、スペース<br>【動】同居する,個々の「部屋」を指す場合は可算名詞ですが、抽象的な「余地、スペース、可能性」を指す場合は不可算名詞になります。,"【名】My room is not messy; it is a carefully curated exhibition of everything I have avoided dealing with this year.<br>【動】We could not room together on the trip, because his snoring qualifies, scientifically, as a natural disaster.",【名】俺の部屋は散らかっているのではない。今年向き合うのを避けてきた全てを丁寧に構成した展示なのだ。<br>【動】旅行で彼と相部屋にはできなかった。彼のいびきは科学的に自然災害に分類されるからだ。
331,story,/ˈstɔːri/,名詞,物語、話、階（建物の）,建物の「〜階」を指す意味（例：two-story house：2階建ての家）としても用いられます。,"He told a long story about his weekend that had no plot, no point, and yet somehow refused to ever actually end.",彼は週末についての長い話をしたが、筋も要点もなく、それでいてなぜか決して終わろうとしなかった。
332,site,/saɪt/,名詞,敷地、現場、遺跡、ウェブサイト,建設の「現場（construction site）」や、インターネットの「ウェブサイト」などを指します。,"The construction site next door starts drilling at dawn, ensuring my alarm clock has been permanently made redundant.",隣の工事現場は夜明けに掘削を始め、おかげで俺の目覚まし時計は永久に不要になった。
333,yard,/jɑːrd/,名詞,庭、囲い地、ヤード（長さの単位：約91.4cm）,家の周りの前庭や芝生を指すほか、特定の作業場（例：junkyard）を指します。,"I mowed the entire back yard yesterday, and today the grass has already returned, looking faintly amused by my effort.",昨日、裏庭を全部刈ったのに、今日にはもう草が戻ってきて、俺の努力をかすかに面白がっているように見える。
334,bottom,/ˈbɑːtəm/,名詞、形容詞,【名】底、最下部、お尻<br>【形】最下部の,at the bottom of ... で「〜の底に、〜の最下部に」という意味になります。,"【名】I finally reached the bottom of my to-do list, only to discover a second, secret list hiding shyly beneath it.<br>【形】I always draw the bottom bunk in life, both literally at camp and figuratively in every group project ever.",【名】ついてTodoリストの一番下に到達したら、その下に恥ずかしそうに隠れる二枚目の秘密のリストを発見した。<br>【形】俺は人生でいつも一番下の段を引く。キャンプでも文字通り、あらゆるグループ課題でも比喩的に。
335,line,/laɪn/,名詞、動詞,【名】線、行、列、回線、方針、職業<br>【動】整列させる,stand in line で「列に並ぶ」。ビジネスなどで「方針、専門、職業（例：line of work）」を指すこともあります。,"【名】I waited in the wrong line for forty minutes with the calm dignity of a man too proud to ever check the sign.<br>【動】They lined the hallway with motivational posters, which somehow only deepened everyone's collective sense of doom.",【名】俺は看板を確認できないほど誇り高い男の静かな威厳をもって、四十分間も間違った列に並んだ。<br>【動】彼らは廊下に激励のポスターを並べたが、なぜかそれは皆の集合的な絶望感を深めるだけだった。
336,row,/roʊ/,名詞、動詞,【名】列、並び、ボートを漕ぐこと<br>【動】（ボートを）漕ぐ,横に並んだ「列」（縦列は column）。in a row で「一列に、連続して」の意味になります。※「口喧嘩」の意味の時は /raʊ/ と発音。,"【名】I sat in the back row so I could nod thoughtfully while secretly planning my dinner in exhaustive detail.<br>【動】The tourists tried to row the little boat in a perfect circle, achieving a level of chaos usually reserved for legends.",【名】俺は後ろの列に座り、思慮深くうなずきながら、密かに夕食を事細かに計画できるようにした。<br>【動】観光客たちは小舟を綺麗な円で漕ごうとし、伝説級の混沌を成し遂げた。
337,background,/ˈbækɡraʊnd/,名詞,背景、生い立ち、経歴,絵や写真の「背景」のほか、個人の「育ち・経歴・知識のバックグラウンド」を指す際にもよく使われます。,"He has an impressive academic background, yet still cannot figure out how to make the office printer stop weeping ink.",彼は立派な学歴を持つが、それでもオフィスのプリンターがインクを泣き流すのを止める方法はわからない。
338,direction,/daɪˈrekʃn/,名詞,方向、指示、指導、監督,複数形の directions は、道案内や機器の「取扱説明・使用法」を意味します。,"I have a terrible sense of direction, so I confidently followed the crowd and ended up at a stranger's wedding.",俺は方向感覚が壊滅的なので、自信満々に人混みについていき、見知らぬ人の結婚式にたどり着いた。
339,culture,/ˈkʌltʃər/,名詞、動詞,【名】文化、教養、培養<br>【動】培養する,社会的な文化のほか、生物学で細菌などの「培養・育成」を意味することもあります。,【名】Office culture here means pretending to enjoy the mandatory fun until the mandatory fun mercifully ends.<br>【動】She cultured a friendship with the boss so carefully that even her houseplants seemed jealous of the dedication.,【名】ここの社風とは、義務的な楽しみが慈悲深く終わるまで、それを楽しむふりをすることを意味する。<br>【動】彼女は上司との友情をあまりに念入りに育てたので、彼女の観葉植物すらその献身に嫉妬しているようだった。
340,art,/ɑːrt/,名詞,芸術、美術、技術、人文学,liberal arts で「教養科目」、art of persuasion で「説得の技術」などのように、広く学問や技術を指します。,My attempt at abstract art was so confusing that the gallery mistook it for a very expensive genuine masterpiece.,俺の抽象芸術の試みはあまりに難解だったので、画廊はそれを非常に高価な本物の傑作と勘違いした。
341,cartoon,/kɑːrˈtuːn/,名詞,風刺漫画、アニメ、一コマ漫画,主に新聞などの一コマ風刺漫画、またはコミカルな「テレビアニメ（アニメーション）」を指します。,"I still watch cartoons on Saturday mornings, and I will defend this sacred ritual against absolutely anyone who dares.",俺は今も土曜の朝にアニメを見ていて、あえて挑む者が誰であろうと、この神聖な儀式を守り抜く。
342,novel,/ˈnɑːvl/,名詞、形容詞,【名】小説<br>【形】斬新な、新しい,形容詞として「新しい、斬新な（例：a novel idea）」という意味が重要です。,"【名】I bought a thick novel to look intellectual on the train and have been on the same page for three weeks.<br>【形】He proposed a novel solution to the leak, which was, in essence, to place a bucket and simply believe in it deeply.",【名】電車で知的に見せようと分厚い小説を買ったが、俺は三週間ずっと同じページにいる。<br>【形】彼は水漏れに斬新な解決策を提案した。要はバケツを置き、それを深く信じるというものだった。
343,instrument,/ˈɪnstrəmənt/,名詞,器具、道具、楽器、手段,医療用や測定用の「精密機器・器具」、または musical instrument（楽器）を指します。,"I bought an expensive musical instrument to become cultured, and now it functions as a very artistic and dusty coat rack.",教養を身につけようと高価な楽器を買ったが、今やそれは非常に芸術的で埃をかぶったコート掛けとして機能している。
344,tune,/tuːn/,名詞、動詞,【名】曲、旋律、調和<br>【動】調律する、合わせる,in tune with ... で「〜と調和して、波長が合って」という意味になります。,"【名】He hummed a cheerful tune all morning, blissfully unaware that it was slowly driving the entire office to madness.<br>【動】I finally tuned the old guitar, and it now sounds only slightly like a cat expressing deep personal grievances.",【名】彼は一日中陽気な曲を口ずさみ、それがオフィス全体を徐々に狂気へ追いやっていることに幸せなほど無自覚だった。<br>【動】ついに古いギターを調律したが、今や個人的な深い不満を訴える猫に、ほんの少しだけ似た音がする。
345,sentence,/ˈsentəns/,名詞、動詞,【名】文、判決、刑罰<br>【動】判決を下す、刑に処する,「一文（文章の単位）」のほか、裁判での「判決・刑罰」という意味（例：death sentence：死刑判決）もあります。,"【名】He wrote me a text so long that it was less a sentence and more a formal declaration of emotional independence.<br>【動】The judge sentenced him to community service, and he served it by loudly narrating everyone else's minor mistakes.",【名】彼は俺に、文というより感情的独立の正式な宣言と呼ぶべき長さのメッセージを書いてきた。<br>【動】裁判官は彼に社会奉仕を言い渡し、彼は他人の些細なミスを大声で実況することでそれを果たした。
346,article,/ˈɑːrtɪkl/,名詞,記事、品物、条項、冠詞,新聞などの「記事」のほか、法律の「条項」、個々の「品物（articles of clothing：衣類）」、英文法の「冠詞」を指します。,I read one online article about health and now confidently diagnose all my friends with conditions I cannot even pronounce.,健康についてのネット記事を一本読んだだけで、俺は今や自信満々に、発音すらできない病名を友人全員に診断している。
347,passage,/ˈpæsɪdʒ/,名詞,（文章・音楽の）一節、通路、経過、通過,読解問題などの「文章の一節」のほか、建物の「廊下・通路」、時の「経過（passage of time）」などを表します。,The exam passage was so dense that by the third sentence I had forgotten my own name and the general concept of reading.,試験の長文はあまりに難解で、三文目までに俺は自分の名前と、読むという概念そのものを忘れていた。
348,vocabulary,/vəˈkæbjəleri/,名詞,語彙、単語数,単語単体ではなく、個人や言語が持つ「語彙（単語の集合体）」を指すため、通常は集合的に扱われます。,"My professional vocabulary consists entirely of nodding slowly and saying ""let's circle back on that"" with great authority.",俺のビジネス語彙は、ゆっくりうなずき、大いなる権威をもって「その件は後で戻りましょう」と言うことだけで成り立っている。
349,rumor,/ˈrumər/,名詞、動詞,【名】噂、風説<br>【動】噂する,Rumor has it that ... で「噂によると〜だそうだ」という重要表現になります。,"【名】A rumor spread that the office was getting free coffee, and productivity briefly reached historically unheard-of levels.<br>【動】It is rumored that our manager once smiled in 2019, though no living witness has ever come forward to confirm it.",【名】オフィスに無料コーヒーが来るという噂が広まり、生産性は一時的に歴史上前例のない水準に達した。<br>【動】うちの課長は二〇一九年に一度微笑んだと噂されるが、それを確認する生存者は一人も名乗り出ていない。
350,spell,/spel/,動詞、名詞,【動】（語を）綴る、もたらす<br>【名】（短い）期間、呪文,動詞として「スペルを書く」のほか、名詞として「一時的な短い期間（例：a cold spell：寒さの続き）」を表します。,"【動】I can spell every difficult word perfectly until someone watches me, at which point my hands forget the alphabet entirely.<br>【名】He cast a spell of boredom over the meeting so complete that three people fell asleep with their eyes bravely open.",【動】俺は難しい単語を全部完璧に綴れる。誰かが見ていない限りは。見られた途端、俺の手はアルファベットを丸ごと忘れる。<br>【名】彼は会議に完璧な退屈の呪文をかけ、三人が勇敢にも目を開けたまま眠りに落ちた。
351,pronounce,/prəˈnaʊns/,動詞,発音する、宣言する、公表する,pronounce death で「死亡を宣告する」など、公式に「宣言する」意味もあります。名詞形は pronunciation。,"I cannot pronounce the name of the fancy dish, so I just point at the menu and pray the waiter is a merciful person.",その洒落た料理の名前を発音できないので、俺はただメニューを指さし、ウェイターが慈悲深い人であることを祈る。
352,sign,/saɪn/,名詞、動詞,【名】兆候、記号、看板、標識、サイン<br>【動】署名する、合図する,road sign（道路標識）や何かが起こる「兆候・サイン」を指します。契約書などに「署名する」動詞としても頻出。,"【名】The parking sign had so many confusing rules that reading it felt like decoding an ancient and vengeful curse.<br>【動】He asked me to sign the document without reading it, which is, as we all know, the beginning of every good horror story.",【名】駐車の標識にはあまりに紛らわしい規則が多く、読むのは古代の執念深い呪いを解読するようだった。<br>【動】彼は読まずに書類にサインしてくれと頼んできた。周知のとおり、それはあらゆる良質なホラーの始まりだ。
353,mean,/miːn/,動詞、形容詞,【動】意味する、〜するつもりだ<br>【形】意地悪な、平均の,形容詞の「意地悪な（be mean to 人）」や、複数形の means が「手段、方法、財産」を意味する点は要注意。過去・過去分詞形は meant /ment/。,"【動】I asked what the cryptic email meant, and three coworkers gave me three different, equally terrifying interpretations.<br>【形】The old shopkeeper was so mean about returns that customers preferred to simply keep the broken items and quietly move on.",【動】その謎めいたメールの意味を尋ねたら、同僚三人が三通りの、等しく恐ろしい解釈を返してきた。<br>【形】その老店主は返品にあまりに意地悪だったので、客は壊れた品をそのまま持ち帰り、静かに諦める方を選んだ。
354,publish,/ˈpʌblɪʃ/,動詞,出版する、公表する,本や雑誌を世に出す「出版」のほか、データや研究成果を世間に「公表・発表する」意味もあります。,"He threatened to publish his memoir, and half the town suddenly remembered urgent business in a completely different country.",彼が回顧録を出版すると脅したところ、町の半分が突然、まったく別の国での緊急の用事を思い出した。
355,display,/dɪˈspleɪ/,動詞、名詞,【動】展示する、表示する、示す<br>【名】展示、画面、ディスプレイ,美術品を飾る「展示」、能力を「発揮する」こと、あるいはコンピュータなどの「画面」を指します。,"【動】She displayed her vacation photos with such enthusiasm that we all quietly began planning our own escape routes.<br>【名】The museum's new display was a single empty chair, which critics praised as a profound and bold statement about sitting.",【動】彼女があまりに熱心に休暇の写真を見せびらかすので、我々は皆、静かに各自の逃走経路を計画し始めた。<br>【名】美術館の新しい展示は空の椅子一脚で、批評家はそれを「座ること」についての深遠で大胆な表現と称賛した。
